,Date,month,dayname,weekend,Hour,Hour_cat,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (mm),WEP (mm),Seasons,Holiday,Functioning Day,Rented Bike Count
1917,2018-02-18,2,Sunday,1,21,Evening,0.2,32,1.1,1951,-14.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,226
1918,2018-02-18,2,Sunday,1,22,Night,-0.3,34,1.6,1981,-14.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,191
1919,2018-02-18,2,Sunday,1,23,Night,-0.7,37,0.9,1814,-13.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,153
1920,2018-02-19,2,Monday,0,0,Dawn,-1.1,39,1.7,1832,-13.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,148
1921,2018-02-19,2,Monday,0,1,Dawn,-1.4,42,1.1,1805,-12.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,101
1922,2018-02-19,2,Monday,0,2,Dawn,-1.4,41,1.1,1582,-12.9,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,59
1923,2018-02-19,2,Monday,0,3,Dawn,-1.4,41,1.6,1870,-12.9,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,42
1924,2018-02-19,2,Monday,0,4,Dawn,-1.9,44,0.7,1907,-12.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,50
1925,2018-02-19,2,Monday,0,5,Dawn,-1.8,44,0.5,1862,-12.4,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,59
1926,2018-02-19,2,Monday,0,6,Dawn,-1.4,46,0.3,1651,-11.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,139
1927,2018-02-19,2,Monday,0,7,Early Morning,-0.9,45,0.9,1820,-11.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,349
1928,2018-02-19,2,Monday,0,8,Early Morning,-1.2,51,0.8,1800,-10.0,0.05,0.0,0.0,0.0,Winter,No Holiday,Yes,646
1929,2018-02-19,2,Monday,0,9,Early Morning,-0.6,43,0.5,1596,-11.6,0.52,0.0,0.0,0.0,Winter,No Holiday,Yes,347
1930,2018-02-19,2,Monday,0,10,Morning,2.6,45,1.2,1230,-8.1,1.17,0.0,0.0,0.0,Winter,No Holiday,Yes,235
1931,2018-02-19,2,Monday,0,11,Morning,4.3,44,2.3,1091,-6.9,1.77,0.0,0.0,0.0,Winter,No Holiday,Yes,314
1932,2018-02-19,2,Monday,0,12,Morning,4.7,43,2.1,1131,-6.8,1.38,0.0,0.0,0.0,Winter,No Holiday,Yes,361
1933,2018-02-19,2,Monday,0,13,Afternoon,5.1,41,1.8,1097,-7.0,1.03,0.0,0.0,0.0,Winter,No Holiday,Yes,332
1934,2018-02-19,2,Monday,0,14,Afternoon,5.6,38,1.6,1087,-7.6,1.1,0.0,0.0,0.0,Winter,No Holiday,Yes,373
1935,2018-02-19,2,Monday,0,15,Afternoon,6.3,35,2.6,991,-8.0,1.2,0.0,0.0,0.0,Winter,No Holiday,Yes,392
1936,2018-02-19,2,Monday,0,16,Afternoon,6.3,35,2.9,1117,-8.0,1.1,0.0,0.0,0.0,Winter,No Holiday,Yes,403
1937,2018-02-19,2,Monday,0,17,Afternoon,5.7,36,3.0,1073,-8.2,0.57,0.0,0.0,0.0,Winter,No Holiday,Yes,522
1938,2018-02-19,2,Monday,0,18,Evening,4.7,43,2.4,938,-6.8,0.19,0.0,0.0,0.0,Winter,No Holiday,Yes,819
1939,2018-02-19,2,Monday,0,19,Evening,3.6,55,1.6,728,-4.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,533
1940,2018-02-19,2,Monday,0,20,Evening,2.4,60,1.9,661,-4.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,417
1941,2018-02-19,2,Monday,0,21,Evening,1.8,63,1.2,604,-4.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,388
1942,2018-02-19,2,Monday,0,22,Night,1.0,69,0.7,525,-4.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,357
1943,2018-02-19,2,Monday,0,23,Night,0.5,73,1.5,465,-3.7,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,218
1944,2018-02-20,2,Tuesday,0,0,Dawn,0.0,75,2.3,394,-3.9,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,177
1945,2018-02-20,2,Tuesday,0,1,Dawn,-0.5,76,1.6,402,-4.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,172
1946,2018-02-20,2,Tuesday,0,2,Dawn,-0.8,76,0.8,421,-4.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,115
1947,2018-02-20,2,Tuesday,0,3,Dawn,-1.3,80,0.7,392,-4.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,63
1948,2018-02-20,2,Tuesday,0,4,Dawn,-1.6,83,0.6,368,-4.1,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,64
1949,2018-02-20,2,Tuesday,0,5,Dawn,-1.8,82,1.3,375,-4.4,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,79
1950,2018-02-20,2,Tuesday,0,6,Dawn,-2.1,82,1.8,381,-4.7,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,164
1951,2018-02-20,2,Tuesday,0,7,Early Morning,-2.2,76,1.9,527,-5.8,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,404
1952,2018-02-20,2,Tuesday,0,8,Early Morning,-2.1,71,1.7,610,-6.6,0.06,0.0,0.0,0.0,Winter,No Holiday,Yes,727
1953,2018-02-20,2,Tuesday,0,9,Early Morning,-1.4,56,1.4,709,-9.0,0.54,0.0,0.0,0.0,Winter,No Holiday,Yes,384
1954,2018-02-20,2,Tuesday,0,10,Morning,1.1,38,3.1,1184,-11.6,1.13,0.0,0.0,0.0,Winter,No Holiday,Yes,265
1955,2018-02-20,2,Tuesday,0,11,Morning,2.8,35,3.9,1265,-11.1,1.71,0.0,0.0,0.0,Winter,No Holiday,Yes,322
1956,2018-02-20,2,Tuesday,0,12,Morning,4.0,23,3.5,1785,-15.3,2.03,0.0,0.0,0.0,Winter,No Holiday,Yes,356
1957,2018-02-20,2,Tuesday,0,13,Afternoon,4.2,22,3.9,1812,-15.6,2.21,0.0,0.0,0.0,Winter,No Holiday,Yes,370
1958,2018-02-20,2,Tuesday,0,14,Afternoon,5.0,20,3.7,1866,-16.1,2.12,0.0,0.0,0.0,Winter,No Holiday,Yes,335
1959,2018-02-20,2,Tuesday,0,15,Afternoon,5.4,18,3.7,1940,-17.0,1.82,0.0,0.0,0.0,Winter,No Holiday,Yes,431
1960,2018-02-20,2,Tuesday,0,16,Afternoon,5.1,17,3.4,2000,-18.0,1.2,0.0,0.0,0.0,Winter,No Holiday,Yes,393
1961,2018-02-20,2,Tuesday,0,17,Afternoon,3.9,19,3.6,2000,-17.6,0.58,0.0,0.0,0.0,Winter,No Holiday,Yes,514
1962,2018-02-20,2,Tuesday,0,18,Evening,3.2,20,2.9,2000,-17.6,0.16,0.0,0.0,0.0,Winter,No Holiday,Yes,764
1963,2018-02-20,2,Tuesday,0,19,Evening,2.5,21,2.2,2000,-17.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,522
1964,2018-02-20,2,Tuesday,0,20,Evening,1.8,19,3.1,2000,-19.4,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,358
1965,2018-02-20,2,Tuesday,0,21,Evening,1.1,21,1.6,2000,-18.8,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,415
1966,2018-02-20,2,Tuesday,0,22,Night,0.5,22,2.9,2000,-18.8,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,319
1967,2018-02-20,2,Tuesday,0,23,Night,-0.5,26,3.3,2000,-17.7,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,242
1968,2018-02-21,2,Wednesday,0,0,Dawn,-1.4,28,3.4,1990,-17.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,171
1969,2018-02-21,2,Wednesday,0,1,Dawn,-2.2,31,1.1,1970,-17.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,162
1970,2018-02-21,2,Wednesday,0,2,Dawn,-2.9,31,1.6,1931,-17.7,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,105
1971,2018-02-21,2,Wednesday,0,3,Dawn,-3.4,32,0.9,1977,-17.7,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,59
1972,2018-02-21,2,Wednesday,0,4,Dawn,-3.8,32,1.1,2000,-18.1,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,50
1973,2018-02-21,2,Wednesday,0,5,Dawn,-4.0,35,1.8,2000,-17.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,63
1974,2018-02-21,2,Wednesday,0,6,Dawn,-4.0,34,3.4,2000,-17.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,159
1975,2018-02-21,2,Wednesday,0,7,Early Morning,-4.1,35,3.5,1980,-17.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,385
1976,2018-02-21,2,Wednesday,0,8,Early Morning,-4.3,36,1.9,1955,-17.1,0.06,0.0,0.0,0.0,Winter,No Holiday,Yes,718
1977,2018-02-21,2,Wednesday,0,9,Early Morning,-3.8,28,1.7,1904,-19.6,0.63,0.0,0.0,0.0,Winter,No Holiday,Yes,373
1978,2018-02-21,2,Wednesday,0,10,Morning,-1.8,25,2.6,1913,-19.2,1.17,0.0,0.0,0.0,Winter,No Holiday,Yes,244
1979,2018-02-21,2,Wednesday,0,11,Morning,0.2,22,2.2,1907,-19.0,1.57,0.0,0.0,0.0,Winter,No Holiday,Yes,276
1980,2018-02-21,2,Wednesday,0,12,Morning,2.2,17,2.0,1824,-20.4,1.99,0.0,0.0,0.0,Winter,No Holiday,Yes,351
1981,2018-02-21,2,Wednesday,0,13,Afternoon,2.9,14,3.3,2000,-22.0,2.14,0.0,0.0,0.0,Winter,No Holiday,Yes,299
1982,2018-02-21,2,Wednesday,0,14,Afternoon,3.3,14,2.9,1985,-21.7,2.49,0.0,0.0,0.0,Winter,No Holiday,Yes,365
1983,2018-02-21,2,Wednesday,0,15,Afternoon,4.2,15,2.7,1995,-20.2,2.21,0.0,0.0,0.0,Winter,No Holiday,Yes,366
1984,2018-02-21,2,Wednesday,0,16,Afternoon,3.7,14,3.9,2000,-21.4,1.71,0.0,0.0,0.0,Winter,No Holiday,Yes,409
1985,2018-02-21,2,Wednesday,0,17,Afternoon,3.1,14,3.7,2000,-21.9,1.0,0.0,0.0,0.0,Winter,No Holiday,Yes,469
1986,2018-02-21,2,Wednesday,0,18,Evening,1.8,16,3.4,2000,-21.4,0.31,0.0,0.0,0.0,Winter,No Holiday,Yes,784
1987,2018-02-21,2,Wednesday,0,19,Evening,-0.1,39,2.8,2000,-12.4,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,460
1988,2018-02-21,2,Wednesday,0,20,Evening,-1.1,43,1.5,2000,-12.1,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,356
1989,2018-02-21,2,Wednesday,0,21,Evening,-1.6,52,2.2,2000,-10.1,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,345
1990,2018-02-21,2,Wednesday,0,22,Night,-2.2,55,1.4,2000,-10.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,299
1991,2018-02-21,2,Wednesday,0,23,Night,-2.7,58,1.1,2000,-9.8,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,223
1992,2018-02-22,2,Thursday,0,0,Dawn,-2.7,58,1.7,2000,-9.8,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,195
1993,2018-02-22,2,Thursday,0,1,Dawn,-2.2,58,1.0,2000,-9.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,190
1994,2018-02-22,2,Thursday,0,2,Dawn,-2.9,57,0.0,1985,-10.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,116
1995,2018-02-22,2,Thursday,0,3,Dawn,-2.8,57,0.5,1995,-10.1,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,71
1996,2018-02-22,2,Thursday,0,4,Dawn,-2.4,58,0.3,2000,-9.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,66
1997,2018-02-22,2,Thursday,0,5,Dawn,-2.4,59,1.1,1984,-9.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,75
1998,2018-02-22,2,Thursday,0,6,Dawn,-3.0,62,0.8,1996,-9.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,151
1999,2018-02-22,2,Thursday,0,7,Early Morning,-3.7,64,0.7,1891,-9.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,373
2000,2018-02-22,2,Thursday,0,8,Early Morning,-3.6,63,0.9,1473,-9.6,0.07,0.0,0.0,0.0,Winter,No Holiday,Yes,783
2001,2018-02-22,2,Thursday,0,9,Early Morning,-1.9,51,0.9,1654,-10.7,0.58,0.0,0.0,0.0,Winter,No Holiday,Yes,383
2002,2018-02-22,2,Thursday,0,10,Morning,0.9,44,1.1,1826,-10.0,1.16,0.0,0.0,0.0,Winter,No Holiday,Yes,259
2003,2018-02-22,2,Thursday,0,11,Morning,2.7,44,0.9,1761,-8.3,1.45,0.0,0.0,0.0,Winter,No Holiday,Yes,308
2004,2018-02-22,2,Thursday,0,12,Morning,4.8,47,2.6,1373,-5.5,1.72,0.0,0.0,0.0,Winter,No Holiday,Yes,352
2005,2018-02-22,2,Thursday,0,13,Afternoon,4.5,51,3.8,1108,-4.7,1.08,0.0,0.0,0.0,Winter,No Holiday,Yes,316
2006,2018-02-22,2,Thursday,0,14,Afternoon,4.8,50,4.3,1168,-4.7,1.01,0.0,0.0,0.0,Winter,No Holiday,Yes,331
2007,2018-02-22,2,Thursday,0,15,Afternoon,5.0,49,4.4,1138,-4.8,0.96,0.0,0.0,0.0,Winter,No Holiday,Yes,356
2008,2018-02-22,2,Thursday,0,16,Afternoon,5.0,50,4.3,1121,-4.5,0.74,0.0,0.0,0.0,Winter,No Holiday,Yes,404
2009,2018-02-22,2,Thursday,0,17,Afternoon,4.6,52,3.9,1059,-4.4,0.5,0.0,0.0,0.0,Winter,No Holiday,Yes,465
2010,2018-02-22,2,Thursday,0,18,Evening,3.9,56,4.0,1004,-4.0,0.18,0.0,0.0,0.0,Winter,No Holiday,Yes,730
2011,2018-02-22,2,Thursday,0,19,Evening,3.5,60,2.7,936,-3.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,499
2012,2018-02-22,2,Thursday,0,20,Evening,3.0,62,2.4,975,-3.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,348
2013,2018-02-22,2,Thursday,0,21,Evening,2.9,64,2.5,1154,-3.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,393
2014,2018-02-22,2,Thursday,0,22,Night,2.9,65,2.3,1150,-3.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,346
2015,2018-02-22,2,Thursday,0,23,Night,2.9,63,2.6,1253,-3.4,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,202
2016,2018-02-23,2,Friday,0,0,Dawn,1.7,86,2.7,54,-0.3,0.0,0.4,0.04,0.44,Winter,No Holiday,Yes,42
2017,2018-02-23,2,Friday,0,1,Dawn,0.6,96,2.1,118,0.0,0.0,0.0,0.4,0.4,Winter,No Holiday,Yes,55
2018,2018-02-23,2,Friday,0,2,Dawn,0.7,97,1.4,197,0.2,0.0,0.0,0.41,0.41,Winter,No Holiday,Yes,62
2019,2018-02-23,2,Friday,0,3,Dawn,0.9,97,1.2,243,0.4,0.0,3.7,0.41,4.11,Winter,No Holiday,Yes,32
2020,2018-02-23,2,Friday,0,4,Dawn,1.1,96,2.5,241,0.5,0.0,0.0,0.39,0.39,Winter,No Holiday,Yes,36
2021,2018-02-23,2,Friday,0,5,Dawn,1.0,91,0.7,257,-0.3,0.0,0.0,0.38,0.38,Winter,No Holiday,Yes,39
2022,2018-02-23,2,Friday,0,6,Dawn,0.4,95,0.3,197,-0.3,0.0,0.0,0.38,0.38,Winter,No Holiday,Yes,63
2023,2018-02-23,2,Friday,0,7,Early Morning,-0.1,97,0.5,179,-0.5,0.0,0.0,0.38,0.38,Winter,No Holiday,Yes,174
2024,2018-02-23,2,Friday,0,8,Early Morning,-0.2,97,0.4,197,-0.6,0.05,0.0,0.37,0.37,Winter,No Holiday,Yes,391
2025,2018-02-23,2,Friday,0,9,Early Morning,0.5,94,0.6,199,-0.3,0.37,0.0,0.37,0.37,Winter,No Holiday,Yes,214
2026,2018-02-23,2,Friday,0,10,Morning,2.2,83,0.8,221,-0.3,0.92,0.0,0.37,0.37,Winter,No Holiday,Yes,184
2027,2018-02-23,2,Friday,0,11,Morning,3.8,72,0.9,236,-0.7,1.1,0.0,0.33999999999999997,0.33999999999999997,Winter,No Holiday,Yes,230
2028,2018-02-23,2,Friday,0,12,Morning,5.3,70,0.9,226,0.2,1.73,0.0,0.16999999999999998,0.16999999999999998,Winter,No Holiday,Yes,283
2029,2018-02-23,2,Friday,0,13,Afternoon,6.7,64,2.0,241,0.3,1.94,0.0,0.06,0.06,Winter,No Holiday,Yes,304
2030,2018-02-23,2,Friday,0,14,Afternoon,7.8,57,2.1,277,-0.2,1.39,0.0,0.0,0.0,Winter,No Holiday,Yes,312
2031,2018-02-23,2,Friday,0,15,Afternoon,8.2,62,0.6,291,1.3,1.22,0.0,0.0,0.0,Winter,No Holiday,Yes,312
2032,2018-02-23,2,Friday,0,16,Afternoon,8.3,60,2.7,354,0.9,0.36,0.0,0.0,0.0,Winter,No Holiday,Yes,354
2033,2018-02-23,2,Friday,0,17,Afternoon,7.9,68,4.2,352,2.3,0.27,0.0,0.0,0.0,Winter,No Holiday,Yes,470
2034,2018-02-23,2,Friday,0,18,Evening,7.5,70,5.0,374,2.3,0.08,0.0,0.0,0.0,Winter,No Holiday,Yes,669
2035,2018-02-23,2,Friday,0,19,Evening,6.9,73,3.7,369,2.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,421
2036,2018-02-23,2,Friday,0,20,Evening,6.4,77,2.8,316,2.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,295
2037,2018-02-23,2,Friday,0,21,Evening,6.0,79,2.7,306,2.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,321
2038,2018-02-23,2,Friday,0,22,Night,5.7,81,2.5,292,2.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,291
2039,2018-02-23,2,Friday,0,23,Night,5.5,80,2.7,258,2.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,243
2040,2018-02-24,2,Saturday,1,0,Dawn,4.6,82,3.0,240,1.7,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,226
2041,2018-02-24,2,Saturday,1,1,Dawn,4.0,83,1.7,235,1.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,263
2042,2018-02-24,2,Saturday,1,2,Dawn,3.7,82,1.6,229,0.9,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,197
2043,2018-02-24,2,Saturday,1,3,Dawn,3.5,82,2.9,217,0.7,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,133
2044,2018-02-24,2,Saturday,1,4,Dawn,2.7,82,2.8,222,0.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,63
2045,2018-02-24,2,Saturday,1,5,Dawn,1.8,84,2.7,214,-0.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,58
2046,2018-02-24,2,Saturday,1,6,Dawn,1.2,83,2.5,245,-1.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,72
2047,2018-02-24,2,Saturday,1,7,Early Morning,0.6,86,1.6,211,-1.4,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,108
2048,2018-02-24,2,Saturday,1,8,Early Morning,0.0,77,2.8,289,-3.5,0.06,0.0,0.0,0.0,Winter,No Holiday,Yes,203
2049,2018-02-24,2,Saturday,1,9,Early Morning,0.6,64,3.8,430,-5.4,0.65,0.0,0.0,0.0,Winter,No Holiday,Yes,253
2050,2018-02-24,2,Saturday,1,10,Morning,0.8,60,2.9,497,-6.0,0.71,0.0,0.0,0.0,Winter,No Holiday,Yes,259
2051,2018-02-24,2,Saturday,1,11,Morning,2.2,50,2.4,608,-7.1,1.1,0.0,0.0,0.0,Winter,No Holiday,Yes,298
2052,2018-02-24,2,Saturday,1,12,Morning,4.0,37,1.4,763,-9.4,1.75,0.0,0.0,0.0,Winter,No Holiday,Yes,363
2053,2018-02-24,2,Saturday,1,13,Afternoon,5.3,29,2.1,1007,-11.3,2.08,0.0,0.0,0.0,Winter,No Holiday,Yes,412
2054,2018-02-24,2,Saturday,1,14,Afternoon,6.9,19,1.9,1843,-15.1,2.36,0.0,0.0,0.0,Winter,No Holiday,Yes,454
2055,2018-02-24,2,Saturday,1,15,Afternoon,6.7,24,2.7,1536,-12.4,1.95,0.0,0.0,0.0,Winter,No Holiday,Yes,467
2056,2018-02-24,2,Saturday,1,16,Afternoon,5.9,21,3.0,1864,-14.8,1.34,0.0,0.0,0.0,Winter,No Holiday,Yes,509
2057,2018-02-24,2,Saturday,1,17,Afternoon,4.9,28,3.1,1477,-12.1,0.77,0.0,0.0,0.0,Winter,No Holiday,Yes,462
2058,2018-02-24,2,Saturday,1,18,Evening,3.5,30,2.9,1726,-12.4,0.31,0.0,0.0,0.0,Winter,No Holiday,Yes,379
2059,2018-02-24,2,Saturday,1,19,Evening,2.1,27,2.8,1883,-15.0,0.01,0.0,0.0,0.0,Winter,No Holiday,Yes,306
2060,2018-02-24,2,Saturday,1,20,Evening,1.1,32,1.4,1785,-13.8,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,233
2061,2018-02-24,2,Saturday,1,21,Evening,0.7,31,1.3,1923,-14.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,232
2062,2018-02-24,2,Saturday,1,22,Night,0.1,32,0.9,1937,-14.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,219
2063,2018-02-24,2,Saturday,1,23,Night,-0.6,39,1.3,1731,-12.8,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,187
2064,2018-02-25,2,Sunday,1,0,Dawn,-1.1,44,1.2,1741,-11.8,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,182
2065,2018-02-25,2,Sunday,1,1,Dawn,-1.4,43,0.6,1791,-12.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,189
2066,2018-02-25,2,Sunday,1,2,Dawn,-1.5,46,1.1,1744,-11.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,124
2067,2018-02-25,2,Sunday,1,3,Dawn,-1.3,42,0.8,1648,-12.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,103
2068,2018-02-25,2,Sunday,1,4,Dawn,-1.1,43,0.7,1558,-12.1,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,52
2069,2018-02-25,2,Sunday,1,5,Dawn,-0.7,41,0.9,1442,-12.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,37
2070,2018-02-25,2,Sunday,1,6,Dawn,-0.8,44,0.6,1541,-11.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,54
2071,2018-02-25,2,Sunday,1,7,Early Morning,-1.0,47,0.9,1552,-10.9,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,77
2072,2018-02-25,2,Sunday,1,8,Early Morning,-1.3,54,0.6,1597,-9.4,0.06,0.0,0.0,0.0,Winter,No Holiday,Yes,158
2073,2018-02-25,2,Sunday,1,9,Early Morning,-0.3,48,1.1,1394,-10.0,0.43,0.0,0.0,0.0,Winter,No Holiday,Yes,173
2074,2018-02-25,2,Sunday,1,10,Morning,2.1,42,1.1,1564,-9.5,1.12,0.0,0.0,0.0,Winter,No Holiday,Yes,195
2075,2018-02-25,2,Sunday,1,11,Morning,4.3,29,2.6,1293,-12.2,1.87,0.0,0.0,0.0,Winter,No Holiday,Yes,244
2076,2018-02-25,2,Sunday,1,12,Morning,5.5,25,3.1,1652,-13.0,2.28,0.0,0.0,0.0,Winter,No Holiday,Yes,396
2077,2018-02-25,2,Sunday,1,13,Afternoon,6.1,22,2.4,1710,-14.0,2.5,0.0,0.0,0.0,Winter,No Holiday,Yes,482
2078,2018-02-25,2,Sunday,1,14,Afternoon,7.0,23,2.4,1645,-12.7,2.52,0.0,0.0,0.0,Winter,No Holiday,Yes,572
2079,2018-02-25,2,Sunday,1,15,Afternoon,7.5,21,2.7,1900,-13.4,2.22,0.0,0.0,0.0,Winter,No Holiday,Yes,612
2080,2018-02-25,2,Sunday,1,16,Afternoon,7.6,18,3.2,1930,-15.2,1.73,0.0,0.0,0.0,Winter,No Holiday,Yes,688
2081,2018-02-25,2,Sunday,1,17,Afternoon,6.9,25,2.9,1795,-11.8,1.07,0.0,0.0,0.0,Winter,No Holiday,Yes,589
2082,2018-02-25,2,Sunday,1,18,Evening,5.2,30,2.8,1877,-11.0,0.36,0.0,0.0,0.0,Winter,No Holiday,Yes,402
2083,2018-02-25,2,Sunday,1,19,Evening,3.1,40,2.6,1804,-9.2,0.01,0.0,0.0,0.0,Winter,No Holiday,Yes,297
2084,2018-02-25,2,Sunday,1,20,Evening,1.3,49,2.8,1683,-8.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,232
2085,2018-02-25,2,Sunday,1,21,Evening,0.2,55,2.5,1942,-7.7,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,239
2086,2018-02-25,2,Sunday,1,22,Night,0.0,54,2.5,1929,-8.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,230
2087,2018-02-25,2,Sunday,1,23,Night,-0.3,58,1.0,1945,-7.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,173
2088,2018-02-26,2,Monday,0,0,Dawn,-0.9,60,0.7,1844,-7.7,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,135
2089,2018-02-26,2,Monday,0,1,Dawn,-1.2,63,0.9,1846,-7.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,122
2090,2018-02-26,2,Monday,0,2,Dawn,-1.7,66,0.8,1631,-7.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,80
2091,2018-02-26,2,Monday,0,3,Dawn,-1.9,67,1.0,1575,-7.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,46
2092,2018-02-26,2,Monday,0,4,Dawn,-2.3,69,1.1,1411,-7.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,46
2093,2018-02-26,2,Monday,0,5,Dawn,-2.5,73,0.8,1134,-6.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,65
2094,2018-02-26,2,Monday,0,6,Dawn,-2.7,72,0.5,1253,-7.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,161
2095,2018-02-26,2,Monday,0,7,Early Morning,-3.1,68,0.8,1417,-8.1,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,402
2096,2018-02-26,2,Monday,0,8,Early Morning,-2.9,63,0.7,1386,-8.9,0.11,0.0,0.0,0.0,Winter,No Holiday,Yes,786
2097,2018-02-26,2,Monday,0,9,Early Morning,-1.1,53,0.9,1308,-9.4,0.72,0.0,0.0,0.0,Winter,No Holiday,Yes,416
2098,2018-02-26,2,Monday,0,10,Morning,1.9,46,1.1,1233,-8.5,1.39,0.0,0.0,0.0,Winter,No Holiday,Yes,289
