id,Date,month,dayname,weekend,Hour,Hour_cat,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (mm),WEP (mm),Seasons,Holiday,Functioning Day,Rented Bike Count
12031,2018-04-02,4,Monday,0,15,Afternoon,23.7,43,2.8,1347,10.3,2.28,0.0,0.0,0.0,Spring,No Holiday,Yes,993
15242,2018-05-06,5,Sunday,1,7,Early Morning,15.1,97,0.5,311,14.6,0.03,2.5,0.0,2.5,Spring,No Holiday,Yes,16
16071,2018-06-20,6,Wednesday,0,3,Dawn,19.4,79,0.8,563,15.6,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,340
12946,2018-05-12,5,Saturday,1,15,Afternoon,13.3,97,0.8,194,12.8,0.12,3.0,0.0,3.0,Spring,No Holiday,Yes,17
17706,2018-11-13,11,Tuesday,0,20,Evening,9.5,44,1.8,1991,-2.1,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,1208
14408,2017-12-24,12,Sunday,1,9,Early Morning,4.6,94,0.9,90,3.7,0.0,6.4,0.0,6.4,Winter,Holiday,Yes,3
16975,2018-06-28,6,Thursday,0,23,Night,21.7,96,0.3,293,21.0,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,931
13623,2018-08-02,8,Thursday,0,0,Dawn,31.9,67,1.5,1550,25.0,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,850
13417,2018-01-13,1,Saturday,1,16,Afternoon,-1.2,63,0.9,876,-7.3,0.19,0.0,0.0,0.0,Winter,No Holiday,Yes,249
11703,2018-07-30,7,Monday,0,20,Evening,33.9,46,1.4,2000,20.6,0.03,0.0,0.0,0.0,Summer,No Holiday,Yes,1947
15487,2018-05-29,5,Tuesday,0,21,Evening,19.9,93,1.4,416,18.7,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,1041
17884,2018-07-01,7,Sunday,1,11,Morning,21.2,97,1.2,105,20.6,0.15,18.5,0.0,18.5,Summer,No Holiday,Yes,11
12661,2018-10-26,10,Friday,0,11,Morning,12.4,87,1.0,317,10.2,0.24,1.0,0.0,1.0,Autumn,No Holiday,Yes,54
12098,2018-01-25,1,Thursday,0,17,Afternoon,-10.9,32,4.0,2000,-24.4,0.28,0.0,0.05,0.05,Winter,No Holiday,Yes,170
11484,2018-08-19,8,Sunday,1,3,Dawn,24.0,59,0.6,2000,15.4,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,425
18384,2018-05-23,5,Wednesday,0,11,Morning,18.9,42,3.8,2000,5.6,3.13,0.0,0.0,0.0,Spring,No Holiday,Yes,1012
14513,2018-11-03,11,Saturday,1,10,Morning,11.0,49,0.7,957,0.6,1.4,0.0,0.0,0.0,Autumn,No Holiday,No,0
11924,2018-03-06,3,Tuesday,0,11,Morning,6.3,41,1.3,1519,-6.0,2.12,0.0,0.0,0.0,Spring,No Holiday,Yes,475
12730,2018-03-11,3,Sunday,1,15,Afternoon,11.9,26,2.8,1338,-7.0,2.34,0.0,0.0,0.0,Spring,No Holiday,Yes,1294
16556,2018-02-23,2,Friday,0,1,Dawn,0.6,96,2.1,118,0.0,0.0,0.0,0.4,0.4,Winter,No Holiday,Yes,55
16825,2018-09-05,9,Wednesday,0,23,Night,23.0,83,1.8,1469,19.9,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,1219
12621,2018-06-27,6,Wednesday,0,3,Dawn,19.4,97,2.9,282,18.9,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,152
11289,2018-11-24,11,Saturday,1,20,Evening,2.6,86,1.7,676,0.4,0.0,0.0,0.32999999999999996,0.32999999999999996,Autumn,No Holiday,Yes,349
16332,2018-07-15,7,Sunday,1,8,Early Morning,26.2,75,0.9,1560,21.4,0.77,0.0,0.0,0.0,Summer,No Holiday,Yes,613
14864,2018-11-11,11,Sunday,1,6,Dawn,6.6,84,1.2,373,4.0,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,117
13619,2018-04-02,4,Monday,0,3,Dawn,15.6,81,1.2,628,12.3,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,111
15406,2018-04-27,4,Friday,0,0,Dawn,11.8,59,2.4,1535,4.0,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,663
14492,2018-11-08,11,Thursday,0,20,Evening,13.9,97,2.5,594,13.4,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,12
17653,2018-11-24,11,Saturday,1,1,Dawn,2.4,30,1.3,2000,-13.4,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,507
12771,2018-10-27,10,Saturday,1,17,Afternoon,9.5,34,5.7,2000,-5.6,0.45,0.0,0.0,0.0,Autumn,No Holiday,Yes,1176
11834,2018-07-21,7,Saturday,1,18,Evening,35.0,42,2.9,1953,20.1,1.26,0.0,0.0,0.0,Summer,No Holiday,Yes,1202
13668,2018-01-05,1,Friday,0,0,Dawn,-4.7,52,1.8,1611,-13.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,202
15725,2018-09-22,9,Saturday,1,14,Afternoon,25.2,28,4.4,2000,5.3,2.76,0.0,0.0,0.0,Autumn,No Holiday,Yes,1532
11157,2018-11-12,11,Monday,0,13,Afternoon,13.3,36,2.1,1283,-1.4,1.99,0.0,0.0,0.0,Autumn,No Holiday,Yes,889
14312,2018-07-04,7,Wednesday,0,10,Morning,28.5,65,1.5,1519,21.2,1.74,0.0,0.0,0.0,Summer,No Holiday,Yes,831
16896,2017-12-10,12,Sunday,1,8,Early Morning,-0.2,90,1.2,378,-1.6,0.0,0.0,0.41,0.41,Winter,No Holiday,Yes,35
10390,2018-05-28,5,Monday,0,1,Dawn,16.7,60,0.8,1806,8.8,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,440
13783,2018-01-17,1,Wednesday,0,18,Evening,5.2,62,2.9,503,-1.5,0.01,0.0,0.0,0.0,Winter,No Holiday,Yes,501
16490,2018-07-04,7,Wednesday,0,9,Early Morning,27.4,68,0.5,1941,20.9,1.31,0.0,0.0,0.0,Summer,No Holiday,Yes,1191
17975,2018-06-20,6,Wednesday,0,13,Afternoon,26.2,51,3.2,1078,15.2,3.36,0.0,0.0,0.0,Summer,No Holiday,Yes,1184
17968,2018-04-21,4,Saturday,1,18,Evening,22.2,11,3.0,2000,-9.7,0.98,0.0,0.0,0.0,Spring,No Holiday,Yes,1986
14768,2018-09-10,9,Monday,0,11,Morning,25.3,44,1.2,1948,12.1,2.59,0.0,0.0,0.0,Autumn,No Holiday,Yes,934
17575,2018-07-10,7,Tuesday,0,18,Evening,26.2,82,0.4,1408,22.8,0.21,0.0,0.0,0.0,Summer,No Holiday,Yes,1665
18751,2018-09-10,9,Monday,0,5,Dawn,19.1,62,1.6,2000,11.6,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,226
15561,2018-11-18,11,Sunday,1,8,Early Morning,2.6,53,0.7,1548,-6.0,0.03,0.0,0.0,0.0,Autumn,No Holiday,Yes,371
11660,2018-02-18,2,Sunday,1,7,Early Morning,-4.6,31,1.2,2000,-19.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,52
12034,2018-07-03,7,Tuesday,0,17,Afternoon,32.4,50,2.2,2000,20.6,1.92,0.0,0.0,0.0,Summer,No Holiday,Yes,1783
13467,2018-06-11,6,Monday,0,16,Afternoon,22.0,60,1.8,2000,13.8,0.14,0.0,0.0,0.0,Summer,No Holiday,Yes,1220
12883,2018-10-17,10,Wednesday,0,14,Afternoon,18.3,24,1.7,1983,-2.6,2.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,1083
12281,2018-11-03,11,Saturday,1,6,Dawn,5.5,78,0.6,983,1.9,0.0,0.0,0.0,0.0,Autumn,No Holiday,No,0
15563,2018-04-23,4,Monday,0,16,Afternoon,9.6,96,1.7,1409,8.9,0.23,1.0,0.0,1.0,Spring,No Holiday,Yes,41
12471,2018-04-30,4,Monday,0,12,Morning,22.2,50,2.0,564,11.2,2.65,0.0,0.0,0.0,Spring,No Holiday,Yes,1094
18708,2018-07-21,7,Saturday,1,19,Evening,33.4,51,2.6,2000,21.8,0.59,0.0,0.0,0.0,Summer,No Holiday,Yes,1423
17731,2018-07-06,7,Friday,0,20,Evening,23.8,55,2.3,2000,14.2,0.05,0.0,0.0,0.0,Summer,No Holiday,Yes,2223
18219,2018-10-17,10,Wednesday,0,2,Dawn,10.8,77,0.3,1268,6.9,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,381
10818,2018-07-20,7,Friday,0,11,Morning,31.6,54,1.3,990,21.1,2.84,0.0,0.0,0.0,Summer,No Holiday,Yes,791
16341,2018-08-21,8,Tuesday,0,7,Early Morning,23.4,94,2.4,1773,22.3,0.02,2.0,0.0,2.0,Summer,No Holiday,Yes,608
16857,2018-09-10,9,Monday,0,18,Evening,25.9,42,1.1,2000,11.9,0.48,0.0,0.0,0.0,Autumn,No Holiday,Yes,3298
14807,2018-11-06,11,Tuesday,0,19,Evening,13.3,72,1.1,234,8.3,0.0,0.0,0.0,0.0,Autumn,No Holiday,No,0
13502,2018-01-01,1,Monday,0,19,Evening,-0.1,39,1.3,1911,-12.4,0.0,0.0,0.0,0.0,Winter,Holiday,Yes,125
14943,2018-11-11,11,Sunday,1,15,Afternoon,10.2,58,2.0,573,2.2,0.29,0.0,0.0,0.0,Autumn,No Holiday,Yes,832
15392,2018-05-28,5,Monday,0,3,Dawn,17.1,56,0.4,1583,8.2,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,185
14906,2018-08-28,8,Tuesday,0,16,Afternoon,25.0,97,0.7,1181,24.4,0.17,2.5,0.0,2.5,Summer,No Holiday,Yes,60
13492,2018-09-28,9,Friday,0,17,Afternoon,21.7,52,1.1,2000,11.4,0.79,0.0,0.0,0.0,Autumn,No Holiday,No,0
18036,2018-04-22,4,Sunday,1,5,Dawn,14.8,38,0.6,2000,0.5,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,136
13552,2018-01-05,1,Friday,0,18,Evening,-1.8,44,2.2,1709,-12.4,0.01,0.0,0.0,0.0,Winter,No Holiday,Yes,635
14386,2018-09-13,9,Thursday,0,14,Afternoon,27.2,49,1.5,1945,15.5,2.54,0.0,0.0,0.0,Autumn,No Holiday,Yes,1097
14205,2018-08-12,8,Sunday,1,9,Early Morning,29.7,55,1.6,2000,19.6,1.44,0.0,0.0,0.0,Summer,No Holiday,Yes,568
15486,2017-12-26,12,Tuesday,0,7,Early Morning,-2.9,73,1.9,1911,-7.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,296
14058,2018-04-16,4,Monday,0,16,Afternoon,18.5,24,3.0,1773,-2.4,2.27,0.0,0.0,0.0,Spring,No Holiday,Yes,1452
17332,2018-08-17,8,Friday,0,2,Dawn,22.8,50,1.4,2000,11.8,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,572
17960,2018-02-07,2,Wednesday,0,9,Early Morning,-12.0,50,1.3,1523,-20.3,0.43,0.0,0.0,0.0,Winter,No Holiday,Yes,237
13018,2018-05-11,5,Friday,0,13,Afternoon,20.8,45,2.8,688,8.4,3.17,0.0,0.0,0.0,Spring,No Holiday,Yes,1177
18407,2018-02-24,2,Saturday,1,13,Afternoon,5.3,29,2.1,1007,-11.3,2.08,0.0,0.0,0.0,Winter,No Holiday,Yes,412
16962,2017-12-11,12,Monday,0,12,Morning,-5.2,33,4.6,1973,-19.0,1.26,0.0,0.0,0.0,Winter,No Holiday,Yes,247
11216,2018-04-08,4,Sunday,1,3,Dawn,2.0,50,2.0,2000,-7.3,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,141
13754,2018-09-27,9,Thursday,0,7,Early Morning,13.2,60,0.5,2000,5.5,0.02,0.0,0.0,0.0,Autumn,No Holiday,Yes,1364
18261,2018-10-04,10,Thursday,0,19,Evening,22.3,50,1.4,2000,11.3,0.0,0.0,0.0,0.0,Autumn,No Holiday,No,0
17519,2018-11-20,11,Tuesday,0,0,Dawn,3.8,42,1.7,1458,-7.9,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,478
15281,2018-02-21,2,Wednesday,0,7,Early Morning,-4.1,35,3.5,1980,-17.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,385
16641,2018-03-10,3,Saturday,1,21,Evening,5.0,73,2.2,1173,0.5,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,470
11517,2018-07-28,7,Saturday,1,4,Dawn,28.3,83,1.7,814,25.1,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,340
16321,2018-03-23,3,Friday,0,22,Night,5.3,63,1.8,591,-1.1,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,638
14977,2018-03-03,3,Saturday,1,12,Morning,10.7,16,1.7,1657,-14.1,2.56,0.0,0.0,0.0,Spring,No Holiday,Yes,605
14198,2017-12-08,12,Friday,0,2,Dawn,-4.3,53,1.0,1918,-12.4,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,131
17173,2018-03-01,3,Thursday,0,3,Dawn,1.6,97,2.3,469,1.1,0.0,0.1,0.0,0.1,Spring,Holiday,Yes,92
17262,2018-10-12,10,Friday,0,21,Evening,11.0,60,1.1,1995,3.5,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,1292
12273,2018-06-25,6,Monday,0,9,Early Morning,25.4,61,1.0,1079,17.3,1.28,0.0,0.0,0.0,Summer,No Holiday,Yes,1293
17068,2018-03-24,3,Saturday,1,6,Dawn,4.2,50,0.6,633,-5.3,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,113
15166,2018-05-14,5,Monday,0,9,Early Morning,15.1,74,0.6,437,10.4,0.76,0.0,0.0,0.0,Spring,No Holiday,Yes,1106
17135,2017-12-28,12,Thursday,0,9,Early Morning,-4.3,38,0.7,1877,-16.5,0.04,0.0,0.0,0.0,Winter,No Holiday,Yes,326
11795,2018-10-09,10,Tuesday,0,9,Early Morning,12.8,57,1.2,1838,4.4,0.55,0.0,0.0,0.0,Autumn,Holiday,No,0
10907,2018-03-18,3,Sunday,1,10,Morning,7.2,53,1.6,709,-1.7,0.45,0.0,0.0,0.0,Spring,No Holiday,Yes,460
17474,2018-06-12,6,Tuesday,0,6,Dawn,16.7,85,1.0,2000,14.1,0.03,0.0,0.0,0.0,Summer,No Holiday,Yes,740
16817,2018-01-17,1,Wednesday,0,20,Evening,3.5,72,1.7,361,-1.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,286
17235,2018-09-04,9,Tuesday,0,23,Night,21.7,60,0.5,2000,13.5,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,1233
10436,2018-08-19,8,Sunday,1,2,Dawn,24.5,59,0.3,2000,15.9,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,611
15488,2018-01-30,1,Tuesday,0,11,Morning,-4.5,29,1.3,1912,-19.8,0.79,0.0,0.0,0.0,Winter,No Holiday,Yes,220
11762,2018-09-23,9,Sunday,1,8,Early Morning,17.0,69,1.2,2000,11.2,0.3,0.0,0.0,0.0,Autumn,Holiday,Yes,439
11686,2018-03-20,3,Tuesday,0,14,Afternoon,7.3,38,3.4,1997,-6.1,1.6,0.0,0.0,0.0,Spring,No Holiday,Yes,478
13201,2018-08-26,8,Sunday,1,2,Dawn,22.1,84,0.6,2000,19.2,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,600
16008,2018-09-28,9,Friday,0,3,Dawn,15.3,59,1.6,2000,7.3,0.0,0.0,0.0,0.0,Autumn,No Holiday,No,0
12200,2018-05-01,5,Tuesday,0,13,Afternoon,23.0,63,3.1,494,15.5,1.92,0.0,0.0,0.0,Spring,Holiday,Yes,1493
10676,2017-12-23,12,Saturday,1,20,Evening,5.9,75,1.5,222,1.7,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,258
18512,2018-04-30,4,Monday,0,1,Dawn,14.4,60,1.7,580,6.7,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,362
10721,2018-01-02,1,Tuesday,0,23,Night,-3.8,35,2.3,2000,-17.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,186
10187,2018-04-15,4,Sunday,1,6,Dawn,5.6,85,1.2,769,3.2,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,102
14329,2018-03-21,3,Wednesday,0,10,Morning,3.6,37,1.3,2000,-9.7,0.83,0.0,0.0,0.0,Spring,No Holiday,Yes,374
17221,2018-11-04,11,Sunday,1,2,Dawn,8.2,62,0.2,1415,1.3,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,378
11198,2018-05-28,5,Monday,0,23,Night,20.9,53,1.6,1712,10.9,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,1247
18039,2018-03-03,3,Saturday,1,17,Afternoon,15.0,22,2.5,1946,-6.5,0.96,0.0,0.0,0.0,Spring,No Holiday,Yes,1197
12620,2018-11-28,11,Wednesday,0,22,Night,3.2,34,1.3,1787,-11.1,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,804
15593,2018-07-01,7,Sunday,1,13,Afternoon,21.2,97,1.1,760,20.6,0.2,3.5,0.0,3.5,Summer,No Holiday,Yes,30
12632,2018-11-28,11,Wednesday,0,14,Afternoon,10.3,14,1.1,1880,-16.1,1.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,675
13520,2017-12-18,12,Monday,0,20,Evening,3.3,65,3.2,1172,-2.6,0.0,0.0,0.27,0.27,Winter,No Holiday,Yes,165
16707,2018-11-25,11,Sunday,1,7,Early Morning,1.3,96,0.9,198,0.7,0.0,0.0,0.25,0.25,Autumn,No Holiday,Yes,142
10324,2018-01-20,1,Saturday,1,13,Afternoon,6.3,55,3.0,792,-2.0,0.85,0.0,0.0,0.0,Winter,No Holiday,Yes,356
13294,2018-04-19,4,Thursday,0,19,Evening,17.4,34,2.2,779,1.3,0.16,0.0,0.0,0.0,Spring,No Holiday,Yes,1489
11047,2018-04-15,4,Sunday,1,10,Morning,10.3,62,2.1,914,3.3,1.76,0.0,0.0,0.0,Spring,No Holiday,Yes,582
10349,2018-06-13,6,Wednesday,0,14,Afternoon,26.6,50,2.4,1119,15.3,2.95,0.0,0.0,0.0,Summer,No Holiday,Yes,2088
10864,2018-04-30,4,Monday,0,23,Night,17.9,79,0.4,323,14.1,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,1044
16853,2018-07-08,7,Sunday,1,15,Afternoon,27.6,37,1.9,2000,11.5,2.58,0.0,0.0,0.0,Summer,No Holiday,Yes,1693
16522,2018-05-24,5,Thursday,0,4,Dawn,11.7,64,1.6,1578,5.1,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,161
16557,2018-07-08,7,Sunday,1,5,Dawn,18.1,57,1.4,2000,9.4,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,253
10090,2018-01-14,1,Sunday,1,20,Evening,3.5,55,1.0,1100,-4.7,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,210
10140,2018-10-23,10,Tuesday,0,13,Afternoon,13.5,82,0.8,962,10.4,1.33,0.0,0.0,0.0,Autumn,No Holiday,Yes,652
17857,2018-01-29,1,Monday,0,18,Evening,-6.6,34,2.5,2000,-19.8,0.06,0.0,0.0,0.0,Winter,No Holiday,Yes,438
13267,2018-07-11,7,Wednesday,0,23,Night,26.9,79,0.1,1541,22.9,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,1298
11215,2018-01-17,1,Wednesday,0,23,Night,2.7,74,0.8,291,-1.4,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,227
11684,2018-03-30,3,Friday,0,17,Afternoon,19.4,45,2.9,778,7.1,1.13,0.0,0.0,0.0,Spring,No Holiday,Yes,1460
11705,2018-07-11,7,Wednesday,0,0,Dawn,24.6,96,0.7,308,23.9,0.0,0.5,0.0,0.5,Summer,No Holiday,Yes,240
15484,2018-09-21,9,Friday,0,20,Evening,20.0,82,0.4,2000,16.8,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,1551
16188,2018-06-27,6,Wednesday,0,9,Early Morning,20.0,96,1.6,287,19.3,0.39,0.0,0.0,0.0,Summer,No Holiday,Yes,1238
10159,2018-03-11,3,Sunday,1,12,Morning,9.2,40,2.6,592,-3.7,2.47,0.0,0.0,0.0,Spring,No Holiday,Yes,666
13774,2018-05-25,5,Friday,0,7,Early Morning,14.4,66,1.1,704,8.1,0.42,0.0,0.0,0.0,Spring,No Holiday,Yes,1250
18046,2018-04-13,4,Friday,0,2,Dawn,9.7,23,1.4,2000,-10.4,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,257
12395,2018-09-15,9,Saturday,1,11,Morning,25.2,64,1.2,1938,17.8,1.31,0.0,0.0,0.0,Autumn,No Holiday,Yes,1212
16007,2018-03-30,3,Friday,0,11,Morning,17.8,26,2.6,1822,-1.9,2.37,0.0,0.0,0.0,Spring,No Holiday,Yes,739
12040,2018-10-30,10,Tuesday,0,17,Afternoon,9.9,40,2.6,2000,-3.0,0.47,0.0,0.0,0.0,Autumn,No Holiday,Yes,1357
18263,2018-11-19,11,Monday,0,1,Dawn,5.9,60,0.5,1332,-1.2,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,277
14374,2018-11-30,11,Friday,0,18,Evening,4.7,34,1.9,1661,-9.8,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,1384
15541,2018-11-27,11,Tuesday,0,22,Night,6.6,33,2.1,722,-8.5,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,740
14976,2018-09-19,9,Wednesday,0,4,Dawn,19.5,70,0.5,2000,13.8,0.0,0.0,0.0,0.0,Autumn,No Holiday,No,0
16083,2018-05-14,5,Monday,0,22,Night,19.6,71,0.6,325,14.1,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,1648
11563,2018-02-07,2,Wednesday,0,3,Dawn,-12.5,49,1.5,1885,-21.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,51
11168,2018-08-31,8,Friday,0,12,Morning,27.8,47,2.9,1905,15.4,2.99,0.0,0.0,0.0,Summer,No Holiday,Yes,982
16714,2018-09-12,9,Wednesday,0,1,Dawn,19.6,56,1.2,2000,10.5,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,691
16779,2018-07-06,7,Friday,0,18,Evening,25.9,52,2.1,2000,15.2,0.57,0.0,0.0,0.0,Summer,No Holiday,Yes,3196
15172,2018-08-21,8,Tuesday,0,0,Dawn,28.3,59,3.7,1945,19.5,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,898
15992,2018-03-08,3,Thursday,0,20,Evening,3.3,74,2.6,494,-0.8,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,586
14769,2018-10-14,10,Sunday,1,13,Afternoon,18.1,32,1.5,1684,1.1,2.21,0.0,0.0,0.0,Autumn,No Holiday,Yes,1593
14414,2018-07-19,7,Thursday,0,22,Night,28.0,76,1.5,1542,23.3,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,1870
11170,2018-05-12,5,Saturday,1,23,Night,15.8,98,1.6,235,15.4,0.0,1.0,0.0,1.0,Spring,No Holiday,Yes,50
13370,2018-05-17,5,Thursday,0,10,Morning,20.1,98,1.2,885,19.7,0.13,2.0,0.0,2.0,Spring,No Holiday,Yes,141
18160,2018-03-26,3,Monday,0,11,Morning,12.6,60,2.4,281,5.0,2.23,0.0,0.0,0.0,Spring,No Holiday,Yes,422
12630,2018-10-28,10,Sunday,1,6,Dawn,6.9,86,1.7,1988,4.7,0.0,1.5,0.0,1.5,Autumn,No Holiday,Yes,55
17760,2018-11-18,11,Sunday,1,2,Dawn,2.9,49,2.0,1989,-6.7,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,335
15531,2018-02-24,2,Saturday,1,20,Evening,1.1,32,1.4,1785,-13.8,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,233
14567,2018-05-31,5,Thursday,0,4,Dawn,14.8,85,0.7,478,12.2,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,188
10051,2018-10-28,10,Sunday,1,23,Night,6.0,74,1.1,2000,1.7,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,512
10196,2018-02-02,2,Friday,0,21,Evening,-2.0,61,1.7,1655,-8.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,225
14844,2018-06-23,6,Saturday,1,19,Evening,25.7,59,2.8,1083,17.0,0.38,0.0,0.0,0.0,Summer,No Holiday,Yes,2288
14111,2017-12-11,12,Monday,0,17,Afternoon,-7.1,44,4.2,2000,-17.3,0.18,0.0,0.0,0.0,Winter,No Holiday,Yes,361
18035,2018-03-02,3,Friday,0,9,Early Morning,-4.6,34,1.2,1583,-18.1,0.87,0.0,0.0,0.0,Spring,No Holiday,Yes,343
13553,2017-12-05,12,Tuesday,0,5,Dawn,-7.4,33,2.6,2000,-20.9,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,82
16223,2018-06-07,6,Thursday,0,4,Dawn,18.1,88,1.8,458,16.0,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,191
16185,2018-08-15,8,Wednesday,0,9,Early Morning,32.0,53,1.6,2000,21.2,1.56,0.0,0.0,0.0,Summer,Holiday,Yes,563
11412,2018-09-29,9,Saturday,1,5,Dawn,15.0,77,0.5,2000,10.9,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,208
14325,2018-04-23,4,Monday,0,10,Morning,8.6,95,2.5,578,7.8,0.2,4.0,0.0,4.0,Spring,No Holiday,Yes,12
11496,2018-01-11,1,Thursday,0,1,Dawn,-10.6,55,2.9,1987,-17.9,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,100
13107,2018-01-04,1,Thursday,0,18,Evening,-2.6,38,1.4,1604,-14.9,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,603
15221,2018-02-25,2,Sunday,1,9,Early Morning,-0.3,48,1.1,1394,-10.0,0.43,0.0,0.0,0.0,Winter,No Holiday,Yes,173
12991,2018-02-20,2,Tuesday,0,9,Early Morning,-1.4,56,1.4,709,-9.0,0.54,0.0,0.0,0.0,Winter,No Holiday,Yes,384
17727,2018-08-24,8,Friday,0,21,Evening,23.5,79,3.6,2000,19.6,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,1300
15510,2018-07-05,7,Thursday,0,7,Early Morning,23.5,90,0.5,445,21.7,0.05,0.5,0.0,0.5,Summer,No Holiday,Yes,828
16382,2018-05-07,5,Monday,0,22,Night,18.6,69,1.7,1047,12.7,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,1336
12308,2017-12-01,12,Friday,0,5,Dawn,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,100
18486,2018-01-15,1,Monday,0,3,Dawn,4.4,70,1.7,928,-0.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,58
13705,2018-03-04,3,Sunday,1,5,Dawn,8.8,96,1.2,196,8.1,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,15
14380,2018-01-12,1,Friday,0,7,Early Morning,-15.1,45,0.9,2000,-24.4,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,189
13182,2018-04-17,4,Tuesday,0,11,Morning,16.9,27,1.5,1354,-2.2,2.66,0.0,0.0,0.0,Spring,No Holiday,Yes,822
16254,2018-05-07,5,Monday,0,9,Early Morning,15.9,72,0.5,1835,10.8,0.67,0.0,0.0,0.0,Spring,No Holiday,Yes,737
11437,2018-05-24,5,Thursday,0,6,Dawn,11.4,67,1.0,1600,5.4,0.04,0.0,0.0,0.0,Spring,No Holiday,Yes,530
